Transaction_ID,Customer_ID,Transaction_date,Transaction_time,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Season,Promotion
1000000000,1,2022-01-21,06:27:29,3,71.65,Mobile Payment,Los Angeles,Warehouse Club,True,Winter,No Promotion
1000000001,2,2023-03-01,13:01:21,2,25.93,Cash,San Francisco,Specialty Store,True,Fall,BOGO (Buy One Get One)
1000000002,3,2024-03-21,15:37:04,6,41.49,Credit Card,Houston,Department Store,True,Winter,No Promotion
1000000003,4,2020-10-31,09:59:47,1,39.34,Mobile Payment,Chicago,Pharmacy,True,Spring,No Promotion
1000000004,5,2020-12-10,00:59:59,10,16.42,Debit Card,Houston,Specialty Store,False,Winter,Discount on Selected Items
1000000005,6,2021-10-07,12:37:26,3,72.24,Cash,Houston,Supermarket,True,Spring,Discount on Selected Items
1000000006,7,2023-01-08,10:40:03,4,5.28,Cash,Boston,Specialty Store,False,Summer,Discount on Selected Items
1000000007,8,2020-09-03,12:39:59,5,21.77,Debit Card,Chicago,Specialty Store,False,Winter,Discount on Selected Items
1000000008,9,2021-04-05,06:32:18,4,55.25,Mobile Payment,Los Angeles,Warehouse Club,False,Fall,No Promotion
1000000009,10,2021-07-08,10:08:59,7,31.21,Mobile Payment,Boston,Convenience Store,True,Winter,No Promotion
1000000010,11,2020-03-18,18:58:18,8,91.59,Debit Card,Boston,Department Store,True,Fall,BOGO (Buy One Get One)
1000000011,12,2023-03-30,19:26:41,7,31.88,Mobile Payment,New York,Specialty Store,False,Fall,Discount on Selected Items
1000000012,13,2023-05-27,15:52:59,9,39.75,Debit Card,New York,Pharmacy,False,Summer,Discount on Selected Items
1000000013,14,2023-04-02,09:24:11,7,17.51,Mobile Payment,Seattle,Warehouse Club,False,Winter,BOGO (Buy One Get One)
1000000014,15,2020-04-09,04:31:05,1,33.64,Credit Card,San Francisco,Warehouse Club,True,Spring,No Promotion
1000000015,16,2021-01-01,04:29:07,7,29.57,Mobile Payment,San Francisco,Convenience Store,False,Winter,BOGO (Buy One Get One)
1000000016,17,2021-10-15,13:24:31,5,99.7,Mobile Payment,Miami,Specialty Store,True,Spring,No Promotion
1000000017,18,2021-09-16,09:28:28,8,15.62,Credit Card,San Francisco,Department Store,False,Fall,No Promotion
1000000018,19,2022-07-18,11:33:28,3,98.28,Mobile Payment,New York,Warehouse Club,False,Fall,BOGO (Buy One Get One)
1000000019,20,2021-01-31,07:52:18,7,96.77,Debit Card,Chicago,Department Store,True,Winter,Discount on Selected Items
1000000020,21,2021-10-31,07:46:22,7,83.86,Cash,Houston,Pharmacy,False,Winter,Discount on Selected Items
1000000021,22,2022-12-30,20:03:19,1,39.93,Credit Card,Miami,Department Store,False,Summer,BOGO (Buy One Get One)
1000000022,23,2021-06-08,10:28:59,4,35.62,Mobile Payment,New York,Warehouse Club,True,Spring,BOGO (Buy One Get One)
1000000023,24,2020-01-03,23:24:18,7,19.56,Cash,San Francisco,Department Store,False,Spring,BOGO (Buy One Get One)
1000000024,25,2023-02-27,16:46:56,4,24.03,Debit Card,Dallas,Pharmacy,False,Winter,No Promotion
1000000025,26,2020-02-14,13:19:10,10,7.82,Credit Card,New York,Convenience Store,False,Fall,BOGO (Buy One Get One)
1000000026,27,2020-09-21,10:34:40,6,49.45,Debit Card,Dallas,Warehouse Club,False,Winter,Discount on Selected Items
1000000027,28,2020-03-26,22:08:34,10,29.36,Mobile Payment,Boston,Specialty Store,False,Spring,No Promotion
1000000028,29,2022-08-13,01:26:19,7,21.08,Credit Card,San Francisco,Specialty Store,True,Fall,No Promotion
1000000029,30,2020-02-27,10:23:56,7,75.38,Mobile Payment,Houston,Convenience Store,True,Summer,Discount on Selected Items
1000000030,31,2023-01-08,22:59:24,1,73.17,Debit Card,Boston,Specialty Store,True,Spring,No Promotion
1000000031,32,2024-05-04,13:22:31,4,13.34,Debit Card,Houston,Department Store,False,Summer,No Promotion
1000000032,33,2023-04-04,10:57:09,7,41.4,Debit Card,Chicago,Supermarket,False,Spring,No Promotion
1000000033,34,2022-03-26,19:18:49,8,26.67,Credit Card,Chicago,Specialty Store,True,Spring,Discount on Selected Items
1000000034,35,2023-02-07,14:09:36,5,34.27,Credit Card,San Francisco,Supermarket,True,Summer,BOGO (Buy One Get One)
1000000035,36,2022-10-12,11:57:51,10,62.33,Credit Card,Miami,Warehouse Club,False,Spring,No Promotion
1000000036,37,2020-10-16,09:05:18,4,19.11,Debit Card,Chicago,Convenience Store,True,Winter,Discount on Selected Items
1000000037,38,2020-05-31,05:35:31,4,25.76,Mobile Payment,Los Angeles,Warehouse Club,True,Fall,BOGO (Buy One Get One)
1000000038,39,2020-07-11,22:15:24,7,61.55,Credit Card,New York,Convenience Store,False,Fall,No Promotion
1000000039,40,2023-07-11,11:36:26,5,39.08,Cash,Dallas,Supermarket,False,Spring,No Promotion
1000000040,41,2022-05-31,17:09:14,4,12.97,Credit Card,Atlanta,Department Store,False,Winter,No Promotion
1000000041,42,2023-07-01,20:11:15,8,56.99,Debit Card,Miami,Specialty Store,True,Summer,Discount on Selected Items
1000000042,43,2023-11-13,12:48:32,9,99.77,Cash,Boston,Specialty Store,True,Spring,Discount on Selected Items
1000000043,44,2020-10-12,12:39:54,8,29.82,Cash,Atlanta,Specialty Store,False,Winter,Discount on Selected Items
1000000044,45,2022-09-21,05:09:33,7,89.97,Cash,Atlanta,Department Store,False,Winter,No Promotion
1000000045,46,2022-10-28,18:17:19,2,83.55,Credit Card,Chicago,Convenience Store,False,Spring,Discount on Selected Items
1000000046,47,2024-05-10,23:21:05,10,44.98,Cash,Dallas,Convenience Store,False,Fall,No Promotion
1000000047,48,2023-02-06,01:31:51,7,76.09,Mobile Payment,Los Angeles,Convenience Store,True,Summer,No Promotion
1000000048,49,2024-04-17,00:49:23,10,55.69,Credit Card,Seattle,Department Store,True,Summer,Discount on Selected Items
1000000049,50,2021-06-24,14:01:31,3,61.53,Cash,Houston,Warehouse Club,False,Winter,Discount on Selected Items
1000000050,51,2021-04-10,19:14:33,1,78.46,Mobile Payment,San Francisco,Supermarket,False,Summer,Discount on Selected Items
1000000051,52,2023-09-18,09:06:04,9,49.7,Mobile Payment,Miami,Pharmacy,True,Fall,No Promotion
1000000052,53,2020-05-10,17:02:07,10,87.04,Mobile Payment,Boston,Convenience Store,False,Summer,BOGO (Buy One Get One)
1000000053,54,2020-12-30,14:17:51,2,9.55,Cash,Houston,Warehouse Club,False,Fall,BOGO (Buy One Get One)
1000000054,55,2023-03-02,19:56:06,8,46.79,Debit Card,Los Angeles,Specialty Store,False,Winter,No Promotion
1000000055,56,2022-06-23,18:30:47,7,25.89,Mobile Payment,Seattle,Specialty Store,True,Fall,Discount on Selected Items
1000000056,57,2022-05-09,08:42:36,6,5.21,Cash,Dallas,Warehouse Club,False,Winter,BOGO (Buy One Get One)
1000000057,58,2021-11-23,07:49:29,3,12.72,Cash,Los Angeles,Pharmacy,True,Summer,BOGO (Buy One Get One)
1000000058,59,2024-01-11,05:41:42,5,15.14,Mobile Payment,Miami,Pharmacy,False,Winter,Discount on Selected Items
1000000059,60,2020-06-30,00:58:57,4,15.68,Debit Card,Atlanta,Specialty Store,True,Winter,No Promotion
1000000060,61,2021-11-11,03:45:51,2,92.78,Credit Card,Seattle,Supermarket,True,Fall,No Promotion
1000000061,62,2021-10-28,20:51:11,10,35.95,Credit Card,Boston,Department Store,True,Winter,BOGO (Buy One Get One)
1000000062,63,2021-06-23,06:46:40,5,88.59,Cash,Chicago,Specialty Store,False,Winter,BOGO (Buy One Get One)
1000000063,64,2023-08-24,05:20:40,6,66.87,Mobile Payment,Houston,Department Store,True,Summer,BOGO (Buy One Get One)
1000000064,65,2021-06-28,06:41:33,3,37.35,Cash,San Francisco,Department Store,True,Winter,Discount on Selected Items
1000000065,66,2023-08-14,13:19:28,6,60.37,Debit Card,New York,Department Store,False,Spring,BOGO (Buy One Get One)
1000000066,67,2022-04-08,08:49:31,8,51.42,Credit Card,Miami,Department Store,True,Winter,No Promotion
1000000067,68,2020-04-04,01:57:16,1,54.04,Mobile Payment,Miami,Specialty Store,True,Spring,No Promotion
1000000068,69,2021-10-30,21:16:48,3,67.43,Cash,Dallas,Department Store,True,Fall,No Promotion
1000000069,70,2022-08-19,07:26:19,8,48.83,Cash,Seattle,Warehouse Club,False,Summer,BOGO (Buy One Get One)
1000000070,71,2020-09-21,09:18:47,8,19.4,Credit Card,Atlanta,Pharmacy,False,Fall,Discount on Selected Items
1000000071,72,2020-05-11,12:03:19,1,12.73,Mobile Payment,Houston,Pharmacy,False,Spring,Discount on Selected Items
1000000072,73,2022-10-27,03:15:06,5,77.41,Mobile Payment,Los Angeles,Specialty Store,False,Spring,No Promotion
1000000073,74,2021-06-13,14:25:07,4,78.52,Credit Card,Miami,Supermarket,True,Summer,No Promotion
1000000074,75,2020-03-16,13:50:41,2,16.9,Mobile Payment,Dallas,Supermarket,True,Spring,Discount on Selected Items
1000000075,76,2023-05-28,19:43:50,1,40.11,Debit Card,Seattle,Convenience Store,False,Summer,Discount on Selected Items
1000000076,77,2024-04-11,22:31:18,6,57.04,Cash,Atlanta,Warehouse Club,False,Winter,BOGO (Buy One Get One)
1000000077,78,2024-03-18,02:50:31,6,68.29,Mobile Payment,Los Angeles,Specialty Store,False,Fall,BOGO (Buy One Get One)
1000000078,79,2021-01-06,11:48:28,4,41.24,Debit Card,Dallas,Supermarket,False,Fall,No Promotion
1000000079,80,2024-01-24,16:50:14,4,72.11,Cash,Los Angeles,Department Store,True,Winter,BOGO (Buy One Get One)
1000000080,81,2020-05-16,23:24:23,1,65.96,Mobile Payment,Miami,Convenience Store,True,Summer,Discount on Selected Items
1000000081,82,2022-05-10,23:55:25,4,80.75,Credit Card,New York,Warehouse Club,True,Winter,Discount on Selected Items
1000000082,83,2021-09-12,13:17:37,9,68.09,Debit Card,New York,Specialty Store,True,Winter,BOGO (Buy One Get One)
1000000083,84,2020-09-10,19:56:18,8,16.17,Debit Card,Seattle,Pharmacy,False,Spring,Discount on Selected Items
1000000084,85,2022-05-30,10:26:47,5,89.56,Mobile Payment,Chicago,Supermarket,False,Winter,Discount on Selected Items
1000000085,86,2020-10-28,23:16:56,5,54.94,Credit Card,Dallas,Supermarket,False,Winter,No Promotion
1000000086,87,2020-09-22,03:20:37,1,93.74,Cash,Seattle,Specialty Store,False,Fall,No Promotion
1000000087,88,2021-09-03,01:57:08,10,67.87,Cash,Chicago,Specialty Store,True,Spring,No Promotion
1000000088,89,2020-04-23,04:16:43,5,8.46,Cash,Seattle,Department Store,True,Winter,Discount on Selected Items
1000000089,90,2021-03-23,19:58:18,8,45.75,Credit Card,New York,Pharmacy,True,Summer,BOGO (Buy One Get One)
1000000090,91,2023-11-18,20:40:55,7,34.09,Debit Card,Los Angeles,Convenience Store,False,Fall,No Promotion
1000000091,92,2023-04-03,21:35:35,1,41.48,Credit Card,Miami,Convenience Store,False,Winter,Discount on Selected Items
1000000092,93,2023-02-08,15:22:36,4,37.38,Mobile Payment,Miami,Pharmacy,True,Spring,BOGO (Buy One Get One)
1000000093,94,2023-12-30,04:04:38,4,55.81,Cash,Boston,Convenience Store,False,Summer,BOGO (Buy One Get One)
1000000094,95,2021-04-10,16:00:58,1,90.7,Credit Card,Chicago,Pharmacy,False,Summer,BOGO (Buy One Get One)
1000000095,96,2022-02-08,17:55:17,3,32.25,Mobile Payment,Chicago,Convenience Store,False,Summer,BOGO (Buy One Get One)
1000000096,97,2021-05-11,19:50:51,8,94.76,Cash,Seattle,Pharmacy,False,Summer,Discount on Selected Items
1000000097,98,2022-07-29,17:21:58,5,50.2,Mobile Payment,Miami,Warehouse Club,True,Winter,No Promotion
1000000098,99,2022-10-05,18:14:22,8,29.4,Mobile Payment,Miami,Specialty Store,False,Winter,No Promotion
1000000099,100,2020-08-01,23:03:47,7,27.53,Credit Card,Chicago,Convenience Store,False,Fall,No Promotion
1000000100,101,2020-01-15,21:16:12,10,71.36,Mobile Payment,Houston,Warehouse Club,False,Spring,Discount on Selected Items
1000000101,102,2021-03-15,01:30:26,8,8.22,Mobile Payment,New York,Convenience Store,False,Fall,No Promotion
1000000102,103,2022-10-22,16:34:21,1,92.73,Credit Card,Los Angeles,Department Store,False,Winter,No Promotion
1000000103,104,2020-02-10,01:48:04,10,93.1,Cash,San Francisco,Convenience Store,False,Summer,Discount on Selected Items
1000000104,105,2022-12-27,06:34:48,2,12.24,Cash,New York,Department Store,True,Fall,No Promotion
1000000105,106,2021-04-21,03:43:05,10,20.13,Cash,Seattle,Supermarket,True,Summer,Discount on Selected Items
1000000106,107,2022-05-14,12:06:21,8,48.09,Mobile Payment,Dallas,Pharmacy,True,Spring,BOGO (Buy One Get One)
1000000107,108,2023-01-30,16:47:57,2,37.71,Cash,Seattle,Pharmacy,False,Winter,Discount on Selected Items
1000000108,109,2023-10-11,18:27:18,9,30.3,Credit Card,Seattle,Supermarket,False,Spring,BOGO (Buy One Get One)
1000000109,110,2022-09-24,01:38:43,7,57.89,Mobile Payment,Seattle,Department Store,True,Winter,Discount on Selected Items
1000000110,111,2021-04-23,13:09:53,8,15.34,Cash,Miami,Department Store,True,Winter,BOGO (Buy One Get One)
1000000111,112,2022-09-21,12:12:44,10,90.93,Cash,Miami,Specialty Store,True,Fall,No Promotion
1000000112,113,2022-01-11,11:36:50,2,63.34,Cash,Atlanta,Pharmacy,True,Fall,No Promotion
1000000113,114,2023-04-24,01:06:26,2,48.86,Credit Card,Miami,Supermarket,False,Spring,Discount on Selected Items
1000000114,115,2021-07-31,22:35:35,1,44.08,Debit Card,Los Angeles,Supermarket,True,Winter,No Promotion
1000000115,116,2021-12-12,02:59:50,1,79.64,Cash,San Francisco,Pharmacy,True,Fall,No Promotion
1000000116,117,2024-03-05,06:13:20,5,43.61,Mobile Payment,San Francisco,Pharmacy,True,Fall,BOGO (Buy One Get One)
1000000117,118,2021-01-05,21:56:18,6,25.23,Credit Card,San Francisco,Convenience Store,False,Fall,BOGO (Buy One Get One)
1000000118,119,2023-04-06,20:51:07,7,13.28,Credit Card,Seattle,Specialty Store,True,Fall,No Promotion
1000000119,120,2021-06-21,07:37:06,1,60.7,Debit Card,Atlanta,Department Store,False,Winter,No Promotion
1000000120,121,2023-02-26,11:40:59,8,53.89,Mobile Payment,New York,Department Store,False,Summer,Discount on Selected Items
1000000121,122,2022-03-21,14:49:58,8,14.37,Debit Card,Los Angeles,Convenience Store,False,Winter,BOGO (Buy One Get One)
1000000122,123,2020-08-29,13:41:33,9,56.04,Mobile Payment,Chicago,Department Store,True,Spring,No Promotion
1000000123,124,2023-09-17,23:36:37,4,44.49,Credit Card,Miami,Department Store,False,Spring,BOGO (Buy One Get One)
1000000124,125,2023-08-21,07:05:31,7,66.28,Debit Card,Miami,Supermarket,False,Fall,No Promotion
1000000125,126,2021-05-02,14:10:54,8,23.96,Cash,Chicago,Convenience Store,True,Spring,No Promotion
1000000126,127,2022-08-10,00:26:19,10,68.06,Debit Card,San Francisco,Department Store,True,Winter,No Promotion
1000000127,128,2021-06-02,05:16:55,7,33.04,Cash,Boston,Pharmacy,True,Spring,BOGO (Buy One Get One)
1000000128,129,2024-04-30,02:08:34,6,34.28,Cash,Los Angeles,Warehouse Club,False,Fall,No Promotion
1000000129,130,2020-10-28,23:23:04,4,24.12,Mobile Payment,Houston,Supermarket,True,Summer,Discount on Selected Items
1000000130,131,2022-09-08,07:32:40,8,9.31,Credit Card,Miami,Supermarket,False,Winter,BOGO (Buy One Get One)
1000000131,132,2022-09-02,23:11:17,10,86.98,Mobile Payment,Boston,Department Store,False,Summer,BOGO (Buy One Get One)
1000000132,133,2021-04-18,21:43:40,5,83.34,Mobile Payment,Atlanta,Convenience Store,False,Spring,Discount on Selected Items
1000000133,134,2022-07-08,20:10:34,6,40.37,Debit Card,Boston,Department Store,False,Winter,Discount on Selected Items
1000000134,135,2020-10-28,03:12:39,1,7.14,Mobile Payment,Atlanta,Department Store,False,Spring,Discount on Selected Items
1000000135,136,2020-05-04,09:30:35,1,56.7,Mobile Payment,Seattle,Specialty Store,False,Fall,BOGO (Buy One Get One)
1000000136,137,2021-02-26,11:14:04,9,90.9,Credit Card,Chicago,Department Store,False,Fall,Discount on Selected Items
1000000137,138,2023-11-02,09:25:00,9,59.02,Mobile Payment,Chicago,Specialty Store,False,Winter,BOGO (Buy One Get One)
1000000138,139,2021-04-07,10:10:36,3,36.46,Mobile Payment,Dallas,Warehouse Club,True,Spring,No Promotion
1000000139,140,2022-11-03,02:17:41,2,73.35,Credit Card,Dallas,Specialty Store,False,Winter,No Promotion
1000000140,141,2020-12-08,16:09:29,5,52.95,Mobile Payment,San Francisco,Pharmacy,True,Summer,No Promotion
1000000141,142,2023-03-05,04:11:13,1,77.42,Credit Card,Miami,Warehouse Club,True,Fall,No Promotion
1000000142,143,2023-03-18,16:05:02,7,53.23,Cash,Miami,Specialty Store,False,Summer,BOGO (Buy One Get One)
1000000143,144,2024-04-04,05:28:15,4,71.54,Credit Card,Miami,Department Store,True,Fall,Discount on Selected Items
1000000144,145,2022-11-19,23:47:44,6,78.93,Cash,San Francisco,Pharmacy,True,Fall,No Promotion
1000000145,146,2023-02-07,02:49:22,4,76.86,Mobile Payment,Seattle,Convenience Store,True,Summer,Discount on Selected Items
1000000146,147,2022-12-31,19:41:36,2,25.04,Debit Card,Miami,Pharmacy,True,Winter,Discount on Selected Items
1000000147,148,2021-03-18,13:20:00,1,62.25,Cash,Los Angeles,Warehouse Club,True,Spring,Discount on Selected Items
1000000148,149,2023-07-28,08:34:42,6,45.81,Debit Card,Chicago,Department Store,False,Winter,No Promotion
1000000149,150,2021-04-11,04:00:58,4,47.73,Debit Card,Houston,Warehouse Club,True,Summer,Discount on Selected Items
1000000150,151,2020-09-22,10:18:39,2,58.89,Debit Card,Seattle,Specialty Store,False,Winter,No Promotion
1000000151,152,2021-04-17,12:55:07,9,65.15,Debit Card,San Francisco,Department Store,True,Summer,BOGO (Buy One Get One)
1000000152,153,2020-07-28,04:10:22,8,73.23,Credit Card,Los Angeles,Supermarket,True,Fall,No Promotion
1000000153,154,2023-12-11,12:45:12,10,54.02,Cash,New York,Pharmacy,True,Spring,BOGO (Buy One Get One)
1000000154,155,2023-09-20,21:00:52,9,87.79,Credit Card,Seattle,Warehouse Club,False,Summer,Discount on Selected Items
1000000155,156,2020-04-18,01:29:28,6,36.1,Mobile Payment,Los Angeles,Supermarket,False,Fall,Discount on Selected Items
1000000156,157,2023-10-09,12:34:08,7,98.26,Cash,Dallas,Convenience Store,False,Fall,Discount on Selected Items
1000000157,158,2021-10-11,03:22:18,6,44.73,Mobile Payment,San Francisco,Warehouse Club,True,Winter,No Promotion
1000000158,159,2023-03-19,13:07:44,5,35.83,Debit Card,Seattle,Warehouse Club,True,Summer,BOGO (Buy One Get One)
1000000159,160,2021-11-20,09:58:17,9,64.32,Mobile Payment,Miami,Warehouse Club,True,Spring,Discount on Selected Items
1000000160,161,2024-02-28,14:41:48,9,71.79,Mobile Payment,New York,Supermarket,False,Summer,BOGO (Buy One Get One)
1000000161,162,2022-03-10,22:42:00,9,86.43,Mobile Payment,Miami,Specialty Store,True,Summer,No Promotion
1000000162,163,2022-10-26,23:16:09,5,57.3,Mobile Payment,Chicago,Pharmacy,True,Winter,BOGO (Buy One Get One)
1000000163,164,2020-08-20,15:17:10,6,21.9,Cash,Chicago,Specialty Store,False,Winter,Discount on Selected Items
1000000164,165,2023-12-03,03:08:14,7,53.99,Cash,Los Angeles,Department Store,True,Winter,No Promotion
1000000165,166,2021-04-25,05:04:49,10,38.13,Mobile Payment,New York,Department Store,False,Summer,Discount on Selected Items
1000000166,167,2024-04-24,21:49:53,5,53.09,Cash,Dallas,Department Store,False,Fall,BOGO (Buy One Get One)
1000000167,168,2020-10-24,14:25:04,8,82.66,Cash,Los Angeles,Specialty Store,True,Summer,No Promotion
1000000168,169,2020-06-28,18:14:35,4,63.4,Credit Card,Seattle,Convenience Store,True,Spring,No Promotion
1000000169,170,2023-06-24,14:37:26,9,20.51,Debit Card,New York,Pharmacy,False,Spring,BOGO (Buy One Get One)
1000000170,171,2023-09-03,18:28:01,7,35.13,Mobile Payment,Dallas,Department Store,False,Spring,No Promotion
1000000171,172,2023-02-14,22:57:04,7,55.45,Mobile Payment,Los Angeles,Warehouse Club,True,Winter,Discount on Selected Items
1000000172,173,2021-08-27,21:54:19,9,43.37,Credit Card,Seattle,Pharmacy,True,Summer,Discount on Selected Items
1000000173,174,2020-11-11,23:34:19,7,51.27,Mobile Payment,Dallas,Convenience Store,False,Summer,No Promotion
1000000174,175,2021-04-16,22:38:36,3,34.82,Cash,Seattle,Convenience Store,True,Summer,No Promotion
1000000175,176,2024-04-07,21:08:08,2,90.68,Cash,Seattle,Convenience Store,True,Winter,BOGO (Buy One Get One)
1000000176,177,2023-01-23,07:31:14,8,85.09,Debit Card,Seattle,Warehouse Club,True,Fall,Discount on Selected Items
1000000177,178,2022-11-13,20:33:27,1,31.59,Credit Card,Chicago,Pharmacy,False,Winter,No Promotion
